2022-04-29 13:18:09.005 [schedulerFactory_Worker-5] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:18:12.004 [schedulerFactory_Worker-6] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:18:15.005 [schedulerFactory_Worker-7] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:18:18.003 [schedulerFactory_Worker-8] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:29:45.952 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Starting ProductSellDailyDaoTest using Java 1.8.0_241 on dalluos-mbp with PID 44051 (started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:29:45.954 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:29:48.375 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:29:48.376 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.724 seconds (JVM running for 3.576)
2022-04-29 13:31:19.671 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Starting ProductSellDailyDaoTest using Java 1.8.0_241 on dalluos-mbp with PID 44065 (started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:31:19.673 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:31:21.795 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:31:21.795 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.428 seconds (JVM running for 3.252)
